355,1100
48,445
1248,1250
12,370
919,922
358,360
1370,1532
138,604
246,1449
133,287
454,1087
691,932
254,415
40,315
121,1054
444,566
45,1562
18,1459
238,983
161,1526
1015,1169
1288,1407
209,529
848,1010
750,865
94,1454
602,878
209,1450
974,978
923,1040
1409,1571
91,411
1133,1169
87,130
696,1406
968,1209
440,1062
563,724
729,765
258,762
170,411
635,1423
237,977
4,1529
976,1325
693,964
161,1094
51,1371
145,997
310,826
842,845
971,1484
211,286
902,985
94,137
517,905
1159,1275
317,978
562,638
698,935
184,961
1087,1286
690,805
175,485
722,883
735,1240
454,812
318,1217
1315,1397
1363,1446
999,1002
91,253
683,1458
159,1565
130,1529
170,253
888,1207
367,529
1014,1450
651,971
1244,1247
177,804
773,1482
604,1533
90,1330
602,1380
500,1323
62,185
45,1017
857,1322
858,1287
897,1404
1090,1292
247,523
321,1375
57,600
264,1240
1424,1582
82,782
413,811
22,1307
101,804
321,984
933,935
1050,1093
208,369
411,886
368,763
1248,1450
215,682
1444,1523
517,1380
938,1562
979,1563
138,566
1012,1093
374,684
360,1414
857,1326
394,909
158,898
289,725
881,884
178,885
96,843
237,315
244,1495
1288,1369
461,697
16,841
939,983
159,1564
520,603
902,943
251,326
334,769
281,357
70,430
724,765
493,771
18,639
216,880
693,814
51,1450
1410,1525
1260,1419
891,1445
137,605
893,1006
564,1572
1146,1424
87,366
317,1057
1009,1446
1489,1525
692,854
1088,1092
1087,1365
171,603
696,815
331,335
42,974
1000,1235
50,331
479,984
246,1536
697,816
176,803
1010,1523
361,1495
920,964
207,1217
362,1100
733,1403
430,826
762,1537
1419,1578
128,524
297,967
82,237
286,1217
1257,1534
976,1246
40,896
1537,1579
1016,1053
566,844
690,1050
487,1454
770,1168
644,1419
318,361
503,1480
684,845
732,894
178,884
176,960
1015,1130
207,282
159,1136
930,1013
997,1579
936,1331
81,1445
922,1158
577,965
251,334
530,890
140,884
721,997
170,1410
737,1359
812,895
1168,1564
714,985
375,881
134,288
1023,1182
121,983
4,1490
139,375
1172,1570
460,696
930,972
48,1407
100,1463
1021,1257
42,973
964,1159
1134,1570
980,1094
255,290
864,901
1022,1258
208,605
933,1409
125,1492
91,1490
460,1244
931,1485
936,1173
136,329
812,1366
811,894
443,1258
238,898
1453,1566
763,881
919,1385
140,335
296,848
500,736
62,919
396,1182
129,173
660,743
215,603
494,692
1532,1575
83,84
22,217
519,1023
444,1258
901,936
889,1209
1326,1488
539,700
449,806
676,1501
4,47
552,1029
79,855
1173,1413
121,1526
79,864
1533,1576
1108,1503
50,410
1291,1405
110,186
602,1579
970,1053
928,1325
264,500
23,145
925,929
11,1330
280,1375
81,1565
771,1365
79,1403
1257,1375
83,1373
639,1182
125,979
208,330
49,1487
43,1565
97,880
479,1458
370,886
18,843
448,805
453,929
848,1050
909,1307
193,862
374,645
643,919
770,1130
890,894
1359,1363
41,1524
600,1222
1536,1572
556,905
10,1527
1020,1021
897,1207
932,1048
288,1490
528,806
895,1008
137,683
520,1458
247,564
1370,1405
373,770
70,193
89,1136
174,844
329,727
882,921
574,814
327,528
487,764
764,1576
110,1353
895,976
971,1133
1374,1496
367,448
171,173
47,366
475,902
1009,1092
256,369
731,846
62,760
643,644
219,725
893,935
934,1363
89,1369
891,974
82,198
90,449
731,1129
225,503
1535,1570
1173,1492
1089,1093
295,409
158,858
16,765
413,730
714,1463
